"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17858740674662924,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","SIAP-SIAP! TGL 24 PENGUMUMAN UNDIAN CELENG! 🐷🎉

Matur suksema atas antusiasme semeton yang luar biasa di event Bazar Buah Premium Diskon 50% kemarin sampai ludes!
Buat yang penasaran siapa yang bakal bawa pulang 1 ekor Celeng, pantengin LIVE-nya besok:

📅 24 Juni 2026 | ⏰ 14.00 WITA
📱 LIVE di Instagram & TikTok Pura Pura Ponsel

Simpan terus voucher kalian, karena masih bisa dipakai buat diskon beli HP atau servis di toko! See you! 👋

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",55,"06/22/2026 04:57",https://www.instagram.com/reel/DZ4yVBZAIwB/,"IG reel",,Lifetime,12416,7992,71,4,0,4,0
18085333655426932,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","YAK !!

Yuk serbu promo GALUNGAN DAN KUNINGAN 
Beli handphone berhadiah handphone di @purapura.ponsel (promo Gegemetan)

Belanja di telaga bagus free produk bebas pilih (siapa cepat dia dapat)

By : @arthadashing_ 

#purapuraponsel #telagabagus #viral #fyp",106,"06/21/2026 05:44",https://www.instagram.com/reel/DZ2SYrNTd5C/,"IG reel",,Lifetime,56619,40830,707,6,5,5,20
17970248898098075,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Daripada dengerin janji manis yang gak pasti, mending cari yang berani ngasih kejelasan hubungan. 😉 Tag temen kamu yang butuh dengerin wejangan dari si bli wira😉

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",51,"06/19/2026 18:39",https://www.instagram.com/reel/DZyiCFzE7MV/,"IG reel",,Lifetime,27538,17487,454,0,4,6,5
17867515305626882,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","PANDUAN BELI IPHONE JUNI📱

Harga iPhone masih naik!? Tenang, Promo Spesial Bulan Juni di Pura Pura Ponsel tetep aman!

🎁 Pembayaran fleksibel: Cash, Kredit, atau Tukar
Tambah HP apapun!
🎁 Aftersales juara: Dibantu klaim garansi & dipinjemin HP cadangan selama proses klaim/servis!
🎁 Punya teknisi handal yang bisa tangani sampai
turun mesin.
🎁 Luar kota aman, bisa transaksi via E-Commerce!

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!

Kunjungi Toko Kami Sekarang!
Toko Kroya: JI. Kroya No. 3, Kesiman, Denpasar 
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah
HP terbaik di Bali.",93,"06/17/2026 20:09",https://www.instagram.com/reel/DZtiu53kSDT/,"IG reel",,Lifetime,44217,238006,37,3,1,4,0
17933205435292495,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Cara Instant dapet restu calon mertua pas Melali Manis Galungan 😍

Boleh dicoba dan komen hasilnya ya semetun! 🤩

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!

Kunjungi Toko Kami Sekarang!
Toko Kroya: JI. Kroya No. 3, Kesiman, Denpasar 
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah
HP terbaik di Bali.",90,"06/17/2026 04:25",https://www.instagram.com/reel/DZr2sDyEpNr/,"IG reel",,Lifetime,14091,9009,135,5,0,0,4
18203706904361328,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Rahajeng Nyanggra Rahina Galungan lan Kuningan Semeton 😇🙏🏻
Dumogi Rahayu Sareng Sami.

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!

Kunjungi Toko Kami Sekarang!
Toko Kroya: JI. Kroya No. 3, Kesiman, Denpasar 
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah
HP terbaik di Bali.",52,"06/17/2026 01:28",https://www.instagram.com/reel/DZrieNimhHE/,"IG reel",,Lifetime,23271,14090,200,0,0,6,3
18092389832343957,17841401870239980,depraz_,"Deka Pratama Satya Alam","PANDUAN BELI IPHONE JUNI📲🔥

Harga iPhone masih naik!? Tenang, Promo Spesial Bulan Juni di Pura Pura Ponsel tetep aman! 🔥
✅ Pembayaran fleksibel: Cash, Kredit, atau Tukar Tambah HP apapun! 
✅ Aftersales juara: Dibantu klaim garansi & dipinjemin HP cadangan selama proses klaim/servis! 🤝 
✅ Punya teknisi handal yang bisa tangani sampai turun mesin. 
✅ Luar kota aman, bisa transaksi via E-Commerce!

Jangan sampai kehabisan promonya. Follow akun @purapura.ponsel sekarang buat info selengkapnya! 👇✨",93,"06/15/2026 21:32",https://www.instagram.com/reel/DZoihfxyRi7/,"IG reel",,Lifetime,25439,,212,35,,10,0
18083570453165806,17841401356087722,ogohogohdenpasar,"Ogoh Ogoh Denpasar, Bali","SEMANGAT ADIK-ADIK JEGEG😍
Peed Aya Duta Kota Denpasar Pembukaan Pesta Kesenian Bali tahun 2026

#pkb #pestakesenianbali2026 #pkb2026",59,"06/13/2026 05:57",https://www.instagram.com/reel/DZhtoRFhjkN/,"IG reel",,Lifetime,1848851,,177835,5864,,766,0
18067616873701422,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Pura Pura Ponsel lagi ngadain Bazar Buah yang ke-2 kalinya nih. Semua buah didiskon setengah harga alias 50% aja! 🍊🍎

Gak cuma dapet buah murah dan segar, setiap pembelian kamu juga berkesempatan dapet:

🍒Voucher Service 🛠️
🍒Potongan harga HP 📱
🍒Hadiah Utama: 1 EKOR CELENG! 🐖✨

Besok adalah HARI TERAKHIR, jadi jangan sampai kelewatan ya! 🏃‍♂️💨

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",33,"06/12/2026 23:06",https://www.instagram.com/reel/DZg--uyFV4-/,"IG reel",,Lifetime,14455,10696,87,13,0,0,0
18015985874899626,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Khusus buat menyambut Galungan & Kuningan, Karena di sini yang utama bukan soal cuan, melainkan kebersamaan, kepedulian, dan manfaat yang bisa dirasakan banyak orang✨
buah premium dengan POTONGAN HARGA 50% buat Semeton semua! 🍏🍊🍇
Gak cuma bawa pulang buah murah buat sarana banten atau konsumsi di rumah, kamu juga punya kesempatan dapet kupon berhadiah CELENG! 🐷✨
Gas langsung meluncur ke cabang Monang Maning ya, stand kita udah rame banget nih! 😱

Stop galau, saatnya ganti gadget baru tanpa ribet dan untung maksimal!
10 ribu ulasan bintang 5 di Google Maps!
Kunjungi Toko Kami Sekarang!

Toko Kroya: Jl. Kroya No. 3, Kesiman, Denpasar
Toko Munang Maning: Jl. Subur No. 4 Pemecutan Klod, Denpasar Barat
Jam Buka: Setiap Hari 09:00 - 22:00 WITA
Admin WA: 081237200400 (Klik Link di Bio!)
Tokopedia/Shopee/TikTok Shop: Pura Pura Ponsel

Kualitas Tidak Pernah Pura Pura - Solusi tukar tambah HP terbaik di Bali.",29,"06/11/2026 23:27",https://www.instagram.com/reel/DZecqxuDRIZ/,"IG reel",,Lifetime,6878,4541,54,1,0,0,2
18088287392219625,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","BELI BUAH BERHADIAH CELENG😱😱😱

Ini gila banget pertama kalinya di Bali ada bazzar buah premium dicount 50% dan berhadiah 1 EKOR CELENG‼️
Selain itu voucher kupon yang di dapat akan berguna untuk potongan harga handphone dan potongan harga untuk service🔥

Yuk simpang semeton semoga dengan ini Pura Pura Ponsel bisa berguna di masyarakat🙏

#purapuraponsel #purapuraponselberhadiahceleng #bazzarbuahbali #galungankuningan",56,"06/11/2026 09:03",https://www.instagram.com/reel/DZc5gljTZJH/,"IG reel",,Lifetime,24274,17703,147,32,1,10,3
