"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
18154573738459697,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Dm""Tukar Tambah""sekarang🔥",15,"04/29/2026 21:02",https://www.instagram.com/stories/purapura.ponsel/3886456354777592238,"IG story",,Lifetime,1793,1562,0,0,7,0,1743,,,
18532422232074687,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","✅Promo Bunga dan DP 0% 
✅Syarat mudah dan cepat 
✅Free 1x cicilan",21,"04/29/2026 21:03",https://www.instagram.com/stories/purapura.ponsel/3886456629932294680,"IG story",,Lifetime,1712,1499,0,0,16,0,1678,,,
17875525185460356,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,8,"04/29/2026 22:55",https://www.instagram.com/stories/purapura.ponsel/3886513034018127897,"IG story",,Lifetime,1960,1661,0,0,10,0,1771,,,
17950137341980830,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"04/29/2026 23:00",https://www.instagram.com/stories/purapura.ponsel/3886516097394738585,"IG story",,Lifetime,2090,1659,0,1,14,0,1839,,,
18044685635539912,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","STOK TERBATAS❣️",19,"04/30/2026 03:02",https://www.instagram.com/stories/purapura.ponsel/3886637413326635385,"IG story",,Lifetime,2135,1828,1,0,4,1,2072,,,
18005044394732369,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,11,"04/30/2026 03:02",https://www.instagram.com/stories/purapura.ponsel/3886637888809664740,"IG story",,Lifetime,1950,1657,0,0,4,0,1881,39,,
17945390493183770,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""LOKER""SEKARANG🔥",12,"04/30/2026 03:03",https://www.instagram.com/stories/purapura.ponsel/3886638107332904745,"IG story",,Lifetime,1848,1599,1,0,5,1,1802,,,
18081583241420473,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""SERVICE""SEKARANG🚀",12,"04/30/2026 04:05",https://www.instagram.com/stories/purapura.ponsel/3886668907289974758,"IG story",,Lifetime,1934,1693,0,0,5,1,1873,,,
18088755596014637,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,27,"04/30/2026 05:20",https://www.instagram.com/stories/purapura.ponsel/3886707221686605548,"IG story",,Lifetime,2076,1796,0,0,17,0,1978,,,
17995967297944508,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,15,"04/30/2026 06:30",https://www.instagram.com/stories/purapura.ponsel/3886742487251641006,"IG story",,Lifetime,2176,1828,1,0,26,0,1997,,,
17974203398993407,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,13,"04/30/2026 08:02",https://www.instagram.com/stories/purapura.ponsel/3886788800437789579,"IG story",,Lifetime,2207,1830,2,0,30,0,2086,,,
17955653310120897,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,20,"04/30/2026 19:08",https://www.instagram.com/stories/purapura.ponsel/3887124062154239942,"IG story",,Lifetime,2403,2041,1,0,18,1,2318,,,
17943178770015975,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM ""IPHONE"" SEKARANG👀",12,"04/30/2026 19:19",https://www.instagram.com/stories/purapura.ponsel/3887129108564646462,"IG story",,Lifetime,2238,1830,1,1,7,1,2140,,,
18073322405262686,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM ""ANDROID"" SEKARANG🤩",17,"04/30/2026 19:25",https://www.instagram.com/stories/purapura.ponsel/3887132306604021858,"IG story",,Lifetime,2108,1763,3,0,6,0,2046,,,
18076857872536533,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","SETIAP PEMBELIAN ANDROID BRAND NEW BERKESEMPATAN LUCKY DRAW YANG BERHADIAHKAN VOUCHER BELANJA HINGGA JUTAAN RUPIAH DAN BAHKAN HANDPHONE😱
TUNGGU APALAGI? YUK SEGERA KE TOKO JANGAN SAMPAI KETINGGALAN MOMENTNYA💨🚀",10,"04/30/2026 19:26",https://www.instagram.com/stories/purapura.ponsel/3887132976249830959,"IG story",,Lifetime,1986,1707,1,0,4,0,1853,,,
18079619018408690,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","PROMO DAN STOCK TERBATAS, SEGERA KE TOKO SEKARANG JUGA‼️",18,"04/30/2026 19:28",https://www.instagram.com/stories/purapura.ponsel/3887134029196280870,"IG story",,Lifetime,2038,1684,3,2,16,3,1918,,,
